"Ad Impressions","Channel Image","Channel Name","Video Name","Content Category","Video Language","Video Format","Video Minutes","Childrens Content","Video Views","Channel Views","Channel Subs","Channel Origin","Video URL","Channel URL"
1328,"https://yt3.ggpht.com/h0_0qqJpQPEnceQLHeI58sWHuf780VYwR8yifYLJ47InLzMrZc-x_fcaJq9-7dBa7SvBseCT2g=s88-c-k-c0x00ffffff-no-rj","Eidan Sanker / Don’t Touch My Car","Be kind #car #corvette #funny #c8 #ferrari #foryou #mycar #prank #corvettec8 #lamborghini #shorts","Sports","English","Short Reel",0.3,0,"398969208","5786457186","9870000",NA,"https://www.youtube.com/watch?v=qj8RmjwBlQw","https://www.youtube.com/channel/UCs-S2wp4ID5G-L8lEVa8OWQ"
1299,"https://yt3.ggpht.com/ytc/AIdro_kepdljDpMvzE0iWTq2As3JT3IwvzTUfXoBeWGXd5xLGyw=s88-c-k-c0x00ffffff-no-rj","The Norris Nuts","SABRE'S 19th BIRTHDAY TEARS: (FULL STORY) the TRUTH Behind the Family Drama  w/The Norris Nuts","People & Blogs","English","Long Form",57,0,"5786083","4520663880","7750000","AU","https://www.youtube.com/watch?v=lpAHte0NMXc","https://www.youtube.com/channel/UCYd0us2OtW4d4-1cfpT2ktw"
1274,"https://yt3.ggpht.com/usRWxTny4aTR0ZP-PiqRCWyaPJ7qVEXmxudhM5iB8EbG9jr_g0xxUqnlXhtFYtg9AVB_-utFHQ=s88-c-k-c0x00ffffff-no-rj","Top Viral Talent","20 BEST BGT Singers Of ALL TIME! 🇬🇧","Entertainment","English","Long Form",115,0,"1946541","881294519","13300000","US","https://www.youtube.com/watch?v=FOUnEB9BAII","https://www.youtube.com/channel/UCDnEa2HC2eeT-cN3pAKnNTw"
1271,"https://yt3.ggpht.com/0UKTApY-VhRxJziySOK5qS26kAhWb1-eqbZVtl-HB2j6QjjNwDiFg4NaX-mgaggkX0Ae3U220Q=s88-c-k-c0x00ffffff-no-rj","Teşkilat","Teşkilat 102. Bölüm @trt1","Entertainment","Turkish","Long Form",143,0,"2139634","965151284","1600000","TR","https://www.youtube.com/watch?v=K6WaETFCChQ","https://www.youtube.com/channel/UCt8FO3MT1fWD-UI7hnutj8A"
1271,"https://yt3.ggpht.com/dANCsHq8xGYw6WKMwYdboYcs3SWsIoevzZvcF0FfvU8DQYM_sY8HEvEqjZkRzmMA7n8bsYrRMg=s88-c-k-c0x00ffffff-no-rj","Şahane Hayatım","Şahane Hayatım 22. Bölüm","Entertainment","Turkish","Long Form",137,0,"3629732","482034829","750000","TR","https://www.youtube.com/watch?v=uvbuswDFrLk","https://www.youtube.com/channel/UCTVR8LvMMm08A2kI0vAvyXQ"
1247,"https://yt3.ggpht.com/ffMdyFX49eP6N3S7vb1FieAvKgAYdh2efmuVxUJEihq9TZukDsb_Qgo2Ar8bz0oSVzcgGKFOng=s88-c-k-c0x00ffffff-no-rj","ROCK SQUAD","I READ MY BEST FRIEND’S JOURNAL!","Entertainment","English","Long Form",107,0,"1032150","2559627423","3710000","US","https://www.youtube.com/watch?v=f93imp0SocM","https://www.youtube.com/channel/UC8lk1PidR1QY0jlphsYJqtw"
1245,"https://yt3.ggpht.com/HnQ2IpvU-HxiQMPMcch4i09xWtrzH81PvYPieKGikoouGxSuRpNUXSYexraGQicpMJpLjXezGw=s88-c-k-c0x00ffffff-no-rj","EH Digital","SAKKIGONI | S3 | EP 47 | Ft. Arjun, Kumar, Dipak, Hari, Kamalmani, Rakshya, Surakshya, Buddhi Tamang","Entertainment","English","Long Form",47,0,"3418673","653838818","2120000","US","https://www.youtube.com/watch?v=TegDypjxLQY","https://www.youtube.com/channel/UCgMKDSxreVSOjtB9byZk7SA"
1206,"https://yt3.ggpht.com/uyTTKDKAYLBvo2hleJYCU_RfPfmTidKl6vq25w6XOAvYxXVjJlP_qV05mxYsx1hld4g8BY2n=s88-c-k-c0x00ffffff-no-rj","Nav Lehal","ADAB MISTRI (Full Comedy Video) Nav Lehal Funny Video I Kaku Mehnian I New Punjabi Comedy Video 2024","Entertainment","Punjabi","Long Form",29,0,"4032712","27285146","342000","IN","https://www.youtube.com/watch?v=_Kdt_X_BJWo","https://www.youtube.com/channel/UC_XSbdzsl5mPgIoP5YawTeA"
1177,"https://yt3.ggpht.com/TZvPCPByZHYD3X8xCmhvPBCCbjEl9a53UYOOldJofBcph6XyN-oUQNKNAGqVdhn9qSUBzA2zXg=s88-c-k-c0x00ffffff-no-rj","Family Feud Philippines","Family Feud: ‘IT’S SHOWTIME’ HOSTS, NAKIHULA SA ‘FAMILY FEUD!’ (Full Episode UNCUT & EXTENDED)","Entertainment","Filipino","Long Form",41,0,"14423924","401539240","1230000","PH","https://www.youtube.com/watch?v=U-3bDNt8RdU","https://www.youtube.com/channel/UCKNLamB6VLwjjyHWQpQC2Gw"
1166,"https://yt3.ggpht.com/ytc/AIdro_kffCERRNGERegcpf4HCMZJ-ARS7v1bW6yfAV8pWgo0kG8=s88-c-k-c0x00ffffff-no-rj","Amp World","If You Carve It, I'll Pay For It!","Entertainment","Non linguistic content","Long Form",15,0,"3589130","6868898985","10100000","US","https://www.youtube.com/watch?v=LM_ZTMrr_R8","https://www.youtube.com/channel/UCDP7DZOgj8VTyhyVNup83QQ"
